word,x,y
τύχη,-1.041728138923645,1.6875762939453125
θνητός,-2.191462278366089,1.9824076890945435
πρᾶγμα,-0.939810574054718,1.7205924987792969
εὐβουλία,-1.5387325286865234,2.9403510093688965
πότερος,0.2751682698726654,1.1961427927017212
δικαιοσύνη,-0.8092508316040039,2.759178876876831
ἰσότης,-1.079524278640747,2.824601173400879
σωφροσύνη,-1.1042853593826294,2.8776543140411377
κοσμιότης,-1.0690944194793701,1.11171293258667
Ἀριστείδης,0.2174852043390274,2.15836763381958
ἐγκαρτερέω,-3.891125202178955,1.8813034296035767
πενία,-1.026918649673462,2.116719961166382
πολύς,-0.7386876344680786,0.7232047319412231
χρῆμα,-2.145594596862793,-0.00810304470360279
κῦρος,0.2166992574930191,-4.033836841583252
γίγνομαι,-0.42957648634910583,0.7650346755981445
δύναμαι,-0.8311413526535034,0.8691608309745789
Σκιπίων,-3.255690813064575,-1.41517174243927
Καρχηδών,-2.0535430908203125,-1.6608017683029175
αἱρέω,-0.2976011633872986,0.11378934979438782
λάπτω,-0.36777910590171814,0.444121778011322
εἶδον,-0.031865064054727554,0.5400044918060303
λάφυρα,-2.441304922103882,-0.5885312557220459
Φιλοκράτης,-3.576190948486328,1.8919955492019653
λαμβάνω,-0.4266546964645386,0.5694207549095154
χρυσίον,-2.272352457046509,-3.338637590408325
Φίλιππος,-1.2194175720214844,-1.532923698425293
πόρνη,1.1882189512252808,-0.031849056482315063
ἰχθύς,3.2358527183532715,-0.554584801197052
ἀγοράζω,0.02103680744767189,0.4844154119491577
Λασθένης,-1.186099648475647,-0.7333239316940308
ἀπόλλυμι,-1.194750428199768,0.5677369236946106
Ὄλυνθος,-1.3221848011016846,-1.7872124910354614
γαστήρ,-1.6457693576812744,1.0247300863265991
μετρέω,-0.5676135420799255,1.188563346862793
αἰσχρός,-1.521187663078308,3.218438148498535
εὐδαιμονία,-1.499390721321106,2.9051523208618164
Ἀλέξανδρος,-1.4981333017349243,-1.7074520587921143
αἰχμάλωτος,-2.252887725830078,-0.6094692945480347
ἀπέχω,0.1967242807149887,0.8356403112411499
γυνή,0.9151244759559631,0.19819515943527222
ὑβρίζω,-0.37684324383735657,1.5965572595596313
κολάζω,-1.2129466533660889,3.2601850032806396
Πρίαμος,1.9443928003311157,-0.9179618954658508
δαίμων,1.4147553443908691,1.491552710533142
κακός,-1.1656602621078491,1.8317618370056152
χράω,-0.2795047163963318,1.0187807083129883
συγκοιμάομαι,-3.2200543880462646,0.9185678958892822
ξένος,0.5464299321174622,0.6095739006996155
ἐμπίπλημι,-0.9468127489089966,0.7024761438369751
πόλεμος,-1.3017444610595703,-0.3372632563114166
δύο,0.5294676423072815,-0.9065887928009033
ἤπειρος,-0.24281801283359528,-1.9186004400253296
κωλύω,-1.070602536201477,0.6815142035484314
γαλέη,3.382873058319092,-0.4148513376712799
τράγος,2.2991743087768555,-0.42433446645736694
πίθηκος,2.1856658458709717,0.01084219291806221
συνόχωκα,-0.7872452139854431,0.715548038482666
φαίνω,-0.3693511486053467,1.214693307876587
λιχνεία,-0.6743250489234924,1.6721806526184082
ἀκρασία,-1.9238743782043457,2.9587340354919434
βωμολοχία,-2.3436625003814697,3.4814772605895996
ἀνδρεία,-1.4353203773498535,3.0364346504211426
πῶς,-0.505702793598175,1.5508182048797607
λόγος,-0.2870715260505676,1.6508522033691406
ἔχω,-0.4298294484615326,0.7869884967803955
φρόνησις,-1.2903774976730347,2.924229621887207
φημί,0.547771692276001,0.8332935571670532
δέομαι,-0.614020824432373,1.337364673614502
πάρειμι,-0.37135735154151917,0.8665916919708252
μᾶλλον,-0.7839087843894958,1.4700485467910767
ἡδονά,-1.835860013961792,2.7410008907318115
ἀγαθός,-0.9974459409713745,1.829567313194275
παρέχω,-0.8563970327377319,1.0177397727966309
ἐγκράτεια,-1.057396650314331,2.9548542499542236
καλέω,0.42832183837890625,-0.017033753916621208
κίνδυνος,-2.117542266845703,1.3109172582626343
πόνος,-2.7156941890716553,1.7163573503494263
καρτερία,-1.319772720336914,3.1808435916900635
ἀνδραγαθία,-1.567873477935791,3.0360288619995117
κοινώνημα,0.5204994678497314,2.878694772720337
πολιτεία,-2.252521514892578,3.53877854347229
εὐνομία,-2.4056403636932373,-0.34367886185646057
ὅθεν,0.11245190352201462,0.510335385799408
ἔργον,-0.6418075561523438,1.323155164718628
δικαιόω,-0.921285092830658,2.3917086124420166
νή,1.4849557876586914,4.812071323394775
Δίη,1.4845563173294067,4.802071571350098
κλέπτω,-0.638909101486206,1.174176573753357
ἀκολασταίνω,-0.5287573337554932,1.8984401226043701
μεθίημι,-0.5789283514022827,0.3969644010066986
οἰκεῖος,-1.4584369659423828,1.332831621170044
λογισμός,-1.9880115985870361,2.3845953941345215
ἀφίημι,-0.9342215061187744,0.3836851119995117
ὥσπερ,-0.4029153883457184,0.8996596336364746
πνεῦμα,-2.919064998626709,-1.649843692779541
κονιορτός,-2.414268732070923,-2.9045286178588867
ἠέ,-0.3425494134426117,0.9865248203277588
συρφετός,-1.3984872102737427,-0.18285800516605377
ἐλαύνω,-2.5943491458892822,-2.0938005447387695
διαφέρω,-0.46910810470581055,1.108713150024414
τοίνυν,0.3010861575603485,1.3588767051696777
βουλή,-3.214291572570801,-0.5805654525756836
ἔοικα,-0.18824046850204468,1.1933106184005737
σκέψις,-0.055910270661115646,2.1649739742279053
ζήτησις,-0.7470221519470215,1.1066827774047852
συμφέρω,-1.2740609645843506,1.7589954137802124
ληρέω,0.46795445680618286,1.785326600074768
